y_train
-1
-1
-1
1
1
1
1
1
1
1
-1
-1
-1
-1
1
-1
1
1
-1
-1
1
-1
1
-1
-1
-1
1
1
-1
1
1
1
-1
1
-1
-1
-1
-1
1
1
1
1
1
1
-1
1
-1
-1
1
-1
1
-1
1
-1
-1
-1
1
-1
-1
-1
-1
-1
1
-1
1
1
1
-1
1
1
-1
-1
-1
1
-1
1
-1
1
-1
-1
1
1
-1
-1
-1
1
-1
-1
1
1
1
1
1
-1
-1
1
-1
1
-1
1
-1
-1
1
-1
1
-1
1
-1
1
-1
1
-1
-1
-1
-1
-1
-1
1
-1
-1
1
-1
-1
-1
1
-1
-1
-1
1
-1
-1
1
-1
-1
1
-1
1
-1
-1
1
1
-1
1
-1
-1
-1
-1
-1
-1
1
-1
1
-1
1
-1
-1
-1
-1
1
1
1
-1
1
1
-1
-1
-1
-1
-1
-1
-1
-1
1
-1
1
1
-1
-1
1
-1
1
-1
-1
1
1
-1
-1
-1
-1
1
1
-1
1
-1
-1
1
-1
1
1
-1
1
1
-1
-1
-1
-1
1
-1
1
-1
1
-1
-1
1
-1
1
-1
-1
-1
-1
1
1
1
-1
-1
-1
1
-1
-1
1
-1
-1
-1
1
-1
-1
-1
-1
1
-1
-1
-1
-1
-1
-1
-1
1
-1
-1
-1
1
1
-1
1
1
1
1
-1
-1
1
1
-1
-1
-1
1
1
1
1
-1
1
-1
1
1
1
1
-1
-1
1
-1
1
-1
1
1
-1
-1
1
-1
-1
-1
-1
1
1
1
-1
-1
1
-1
-1
-1
-1
1
-1
-1
-1
1
-1
-1
-1
-1
-1
1
-1
1
-1
-1
-1
-1
1
-1
-1
1
-1
-1
1
-1
1
-1
1
1
1
-1
1
-1
-1
-1
1
-1
-1
-1
1
1
1
1
-1
1
-1
1
-1
1
1
1
-1
1
-1
1
-1
1
-1
-1
-1
-1
-1
-1
1
1
-1
-1
-1
-1
1
-1
1
-1
-1
1
-1
1
1
-1
1
-1
1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
1
1
-1
1
-1
-1
1
1
1
-1
1
1
-1
1
1
1
-1
-1
1
-1
-1
1
-1
1
-1
-1
-1
-1
1
1
1
-1
1
-1
-1
-1
1
-1
1
-1
-1
-1
1
-1
-1
1
-1
1
-1
-1
-1
-1
1
1
1
-1
-1
1
1
-1
1
-1
-1
-1
-1
-1
1
-1
-1
-1
1
1
-1
1
-1
1
1
-1
1
-1
1
-1
-1
1
-1
-1
-1
-1
1
-1
1
1
-1
-1
1
-1
1
-1
1
1
1
1
-1
1
1
1
1
-1
-1
1
-1
-1
-1
1
1
1
-1
1
1
-1
1
-1
1
-1
-1
1
-1
-1
-1
-1
-1
-1
1
-1
1
1
-1
-1
-1
1
-1
-1
-1
1
-1
-1
1
1
1
1
1
-1
1
1
1
-1
1
-1
-1
1
1
-1
-1
-1
-1
-1
-1
-1
-1
1
-1
1
1
1
1
1
1
-1
-1
1
1
1
-1
-1
-1
-1
1
-1
-1
-1
-1
1
-1
1
-1
-1
-1
-1
1
1
