url_length,special_char_count,digit_ratio,letter_ratio,subdomain_count,url_entropy,has_ip
14,2,0.0,0.8571428571428571,1,2.4410152780267027,0
15,1,0.0,0.9333333333333333,1,2.5232109529528914,0
8,1,0.0,0.875,1,1.9061547465398496,0
123,14,0.17073170731707318,0.7154471544715447,1,3.411876831005178,0
16,1,0.0,0.9375,1,2.4260151319598084,0
12,1,0.0,0.9166666666666666,1,2.094729047527649,0
30,7,0.0,0.7666666666666667,1,2.8405646348750735,0
7,1,0.0,0.8571428571428571,1,1.945910149055314,0
120,15,0.15,0.725,2,3.264186066618728,0
21,1,0.0,0.9523809523809523,1,2.491493721879438,0
19,1,0.0,0.9473684210526315,1,2.552085297620967,0
55,8,0.12727272727272726,0.7272727272727273,1,3.22755139140808,0
14,1,0.0,0.9285714285714286,1,2.341994252232425,0
65,7,0.1076923076923077,0.7846153846153846,1,3.1557191124869,0
6,1,0.0,0.8333333333333334,1,1.791759469228055,0
43,5,0.0,0.8837209302325582,1,2.8240173248034353,0
50,9,0.12,0.7,1,2.96200483705967,0
14,1,0.0,0.9285714285714286,1,2.5400363038209806,0
9,1,0.0,0.8888888888888888,1,1.8891591637540213,0
33,6,0.09090909090909091,0.7272727272727273,1,2.8925266766348736,0
132,16,0.16666666666666666,0.7121212121212122,2,3.368041178976689,0
57,8,0.07017543859649122,0.7894736842105263,1,3.247949701010156,0
11,2,0.0,0.8181818181818182,2,1.9722469794234416,0
70,11,0.05714285714285714,0.7857142857142857,1,2.9895871934073974,0
10,1,0.0,0.9,1,1.8343719702816235,0
11,1,0.0,0.9090909090909091,1,2.2718685126965625,0
76,12,0.0,0.8421052631578947,1,3.277121868275983,0
44,8,0.0,0.8181818181818182,2,2.702391135640924,0
14,2,0.0,0.8571428571428571,2,2.242973226438147,0
13,1,0.0,0.9230769230769231,1,2.351673301904631,0
18,1,0.0,0.9444444444444444,1,2.5532370029937144,0
12,1,0.0,0.9166666666666666,1,1.9792045174343245,0
89,15,0.10112359550561797,0.7303370786516854,1,3.07606270501287,0
